ITERACAO,TEMPO (s),DESLOCAMENTO (m)
157000,2.698257612698839,-.5514984722009577E-01
158000,2.715443966919851,-.5542827199398475E-01
159000,2.732630321140863,-.5559365856562207E-01
160000,2.749816675361874,-.5563918026477325E-01
161000,2.767003029582886,-.5556581728794620E-01
162000,2.784189383803898,-.5538208454990177E-01
163000,2.801375738024910,-.5510328650883313E-01
164000,2.818562092245921,-.5475035413493577E-01
165000,2.835748446466933,-.5434834601106599E-01
166000,2.852934800687945,-.5392471698284816E-01
167000,2.870121154908956,-.5350747219567838E-01
168000,2.887307509129968,-.5312333067627326E-01
169000,2.904493863350980,-.5279602027342638E-01
170000,2.921680217571992,-.5254481494855476E-01
171000,2.938866571793003,-.5238340687198588E-01
172000,2.956052926014015,-.5231918094077372E-01
173000,2.973239280235027,-.5235293014902557E-01
174000,2.990425634456038,-.5247901879631080E-01
175000,3.007611988677050,-.5268596932799139E-01
176000,3.024798342898062,-.5295741989827624E-01
177000,3.041984697119074,-.5327337561918402E-01
178000,3.059171051340085,-.5361165856788346E-01
179000,3.076357405561097,-.5394945110843481E-01
180000,3.093543759782109,-.5426482444433281E-01
181000,3.110730114003120,-.5453814947262189E-01
182000,3.127916468224132,-.5475329924605889E-01
183000,3.145102822445144,-.5489857047558825E-01
184000,3.162289176666156,-.5496727390770610E-01
185000,3.179475530887167,-.5495796828841006E-01
186000,3.196661885108179,-.5487433804194522E-01
187000,3.213848239329191,-.5472473892076895E-01
188000,3.231034593550203,-.5452145703129437E-01
189000,3.248220947771214,-.5427974362838430E-01
190000,3.265407301992226,-.5401669980593191E-01
191000,3.282593656213238,-.5375009132987149E-01
192000,3.299780010434249,-.5349717424774466E-01
193000,3.316966364655261,-.5327360695326915E-01
194000,3.334152718876273,-.5309251470007804E-01
195000,3.351339073097285,-.5296375922983809E-01
196000,3.368525427318296,-.5289345018182495E-01
197000,3.385711781539308,-.5288371758979423E-01
198000,3.402898135760320,-.5293274725213458E-01
199000,3.420084489981331,-.5303506410301344E-01
200000,3.437270844202343,-.5318203400148636E-01
201000,3.454457198423355,-.5336254229048720E-01
202000,3.471643552644367,-.5356379863047044E-01
203000,3.488829906865378,-.5377221233167929E-01
204000,3.506016261086390,-.5397428075827170E-01
205000,3.523202615307402,-.5415743525022976E-01
